"polySuffix","firstInfYear","firstSurveyYear","leftDataBool","rightDataBool","oneDataBool","bothDataBool","neighbouring_data_cat"
"mask_uga_grid_0",2008,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_1",2006,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_10",2013,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_11",2005,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_12",2007,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_13",2010,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_14",2010,2008,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_16",2005,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_17",2006,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_18",2008,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_19",2010,2008,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_2",NA,2011,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_21",2008,2004,TRUE,TRUE,FALSE,TRUE,"both"
"mask_uga_grid_22",2007,2004,FALSE,TRUE,TRUE,FALSE,"one"
"mask_uga_grid_23",2009,2009,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_24",2013,2013,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_5",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_6",2006,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_7",2006,2004,TRUE,FALSE,TRUE,FALSE,"one"
"mask_uga_grid_8",2010,2004,FALSE,FALSE,FALSE,FALSE,"none"
"mask_uga_grid_9",2008,2004,FALSE,FALSE,FALSE,FALSE,"none"
