"Y","X","numRealSurveysInCell"
1866,6083,2
1867,6074,1
1868,6087,1
1870,6084,1
1872,6075,2
1877,6075,1
1877,6084,2
1882,6076,2
1882,6084,1
1887,6077,1
1889,6080,1
1891,6083,2
1938,6037,1
1938,6039,1
1939,6034,1
1942,6042,1
1943,6034,2
1947,6034,1
1947,6036,1
1948,6043,2
1951,6039,1
1953,6038,2
1956,6036,1
1957,6032,1
1958,6033,1
1959,6037,2
1959,6062,1
1960,6042,2
1961,6036,1
1962,6035,1
1963,6039,1
1963,6044,1
1964,6040,1
1964,6045,1
1965,6049,1
1966,6052,1
1967,6038,2
1967,6058,1
1967,6067,1
1969,6051,1
1970,6044,2
1971,6067,2
1972,6050,1
1973,6063,1
1976,6040,1
1980,6037,1
1982,6038,2
