"Y","X","numRealSurveysInCell"
1551,5918,1
1553,5920,1
1554,5919,1
1558,5916,1
1559,5918,1
1562,5918,1
1564,5915,1
1565,5901,1
1565,5921,1
1566,5910,1
1566,5919,1
1567,5902,1
1567,5903,1
1567,5905,1
1568,5910,1
1569,5903,1
1570,5888,2
1571,5852,1
1573,5890,1
1575,5853,1
1577,5810,1
1579,5810,1
1579,5854,1
1582,5856,1
1583,5827,1
1583,5862,1
1584,5819,1
1584,5825,1
1584,5858,1
1585,5854,1
1585,5866,2
1586,5817,1
1587,5829,1
1587,5830,1
1588,5818,1
1588,6008,1
1588,6045,1
1589,5826,1
1589,5828,1
1589,5843,1
1589,6000,1
1589,6011,1
1590,5819,1
1590,5830,1
1591,5843,1
1591,5856,1
1592,5840,1
1593,5833,1
1593,6016,1
1594,5859,1
1595,5821,1
1595,5825,1
1595,5832,1
1596,5831,1
1596,5853,1
1596,5858,2
1597,5818,1
1598,5855,1
1598,6049,1
1599,5818,1
1600,6031,1
1600,6057,1
1601,5856,1
1602,6051,1
1603,6053,1
1605,5863,1
1605,6043,1
1606,5864,1
1609,6065,1
1610,6089,1
1611,6073,1
1611,6088,1
1612,6053,1
1612,6067,1
1612,6074,1
1615,6054,1
1622,5827,1
1622,6054,1
1623,5826,1
1626,5833,1
1627,5830,1
1629,6053,1
1631,5819,1
1632,5824,1
1633,5830,1
1634,5833,1
1635,5836,1
1635,5838,1
1636,5800,1
1636,5805,1
1637,5800,1
1641,6055,1
1642,5800,1
1642,6050,1
1643,6031,1
1644,5803,1
1644,5867,1
1646,5821,1
1646,6056,1
1646,6102,1
1647,6027,1
1649,5811,1
1651,6057,1
1651,6087,1
1651,6092,1
1652,6107,1
1654,6079,1
1654,6107,1
1655,5985,1
1655,6076,1
1657,5987,1
1657,6075,1
1658,5810,1
1661,5810,1
1662,5959,1
1663,5951,1
1663,5987,1
1664,5949,1
1665,6077,1
1667,5821,1
1667,5935,1
1667,5985,1
1668,5985,1
1669,5968,1
1669,5970,1
1669,5988,1
1670,5984,1
1671,5935,1
1673,5992,1
1675,5991,1
1676,5981,1
