"Y","X","numRealSurveysInCell"
1559,5905,1
1563,5857,1
1564,5909,1
1564,5915,1
1566,5919,1
1567,5903,1
1569,6065,1
1569,6071,1
1571,5826,1
1571,5854,1
1571,5934,1
1573,5848,2
1573,5891,2
1573,5903,1
1574,5840,1
1574,6053,1
1575,5823,1
1575,5896,1
1575,5919,1
1575,5929,1
1576,5829,1
1576,5839,2
1577,5818,1
1577,5881,1
1579,5833,1
1579,5890,1
1580,5819,1
1581,5823,1
1581,5942,1
1582,5818,1
1582,5834,1
1582,5903,1
1584,5841,1
1584,5855,1
1585,5901,1
1585,6070,1
1586,5920,1
1587,5816,1
1587,5829,2
1588,5817,1
1588,5849,2
1590,6011,1
1591,5943,1
1591,6046,1
1592,6067,1
1593,5918,1
1594,5816,1
1594,5852,1
1594,5904,1
1595,5820,1
1595,5839,1
1596,5818,1
1596,5827,2
1596,5937,1
1598,5816,1
1598,5841,1
1598,5855,1
1598,5908,1
1598,5915,1
1598,6026,1
1598,6068,1
1599,5891,1
1600,5917,1
1600,5929,1
1600,6050,1
1601,5920,1
1601,6033,1
1602,5850,1
1602,5858,1
1603,5907,1
1603,5942,1
1606,5864,1
1606,5920,1
1606,6047,1
1607,5847,1
1607,6072,1
1608,5843,1
1608,6053,1
1608,6059,1
1609,5888,1
1610,5886,1
1610,5903,1
1610,6048,1
1610,6068,1
1611,5854,1
1612,5987,1
1613,5880,1
1613,5917,1
1614,5912,1
1615,5857,1
1615,6051,1
1617,6055,1
1619,6041,1
1620,5915,1
1623,6054,1
1626,5911,1
1626,5988,1
1627,5854,1
1630,5822,1
1633,5830,1
1633,6054,1
1636,5839,1
1641,5983,1
1643,6050,1
1643,6108,1
1645,5863,1
1645,5980,1
1645,5990,1
1645,6055,1
1646,6101,1
1648,5813,1
1648,5999,1
1648,6012,1
1650,5819,1
1650,5996,1
1651,6006,1
1651,6064,1
1651,6089,1
1652,6107,1
1654,5979,1
1654,5999,1
1654,6071,1
1655,5812,1
1656,5812,1
1657,5853,1
1658,5993,1
1659,6105,1
1660,5977,1
1661,5956,1
1662,5964,1
1665,5962,1
1665,5983,1
1667,6079,1
1668,5821,1
1668,6101,1
1669,6086,1
1670,5971,1
1671,5829,1
1671,6061,1
1671,6095,1
1673,5806,1
1675,5818,1
1677,5874,1
1678,5981,1
1678,6055,1
1679,5806,1
1681,6057,1
1683,5805,1
1683,5861,1
1686,5983,1
1689,5804,1
1690,6055,1
1690,6056,1
1692,5800,1
1692,5986,1
1697,6056,1
1698,5802,1
1698,5876,1
1702,5802,1
1703,6053,1
1704,5814,1
1704,5842,1
1704,5880,1
1709,6056,1
1711,5831,1
1712,5818,1
1712,5823,1
1712,5848,1
1715,5828,1
1719,6056,1
1721,5847,1
1722,5872,1
1725,5866,1
1726,6054,1
1731,5849,1
1735,6040,1
1736,5885,1
1737,6054,1
1738,5882,1
1738,6055,1
1739,6138,1
1740,5886,1
1740,5887,1
1741,6150,1
1742,6032,1
1742,6060,1
1742,6137,1
1743,5883,1
1744,5883,1
1744,5888,1
1744,6151,1
1746,5884,1
1746,6086,2
1747,6067,1
1747,6075,1
1748,6090,1
1749,6036,1
1749,6136,1
1750,6043,1
1751,5884,1
1752,6010,1
1752,6022,1
1752,6026,1
1753,5882,1
1753,6005,1
1754,6057,1
1755,6190,1
1756,6136,1
1756,6185,1
1757,6033,1
1759,6050,1
1759,6110,1
1762,6035,1
1762,6105,1
1762,6140,1
1762,6144,1
1763,6087,1
1764,6065,1
1764,6179,1
1765,6031,1
1766,6018,1
1766,6045,1
1767,6017,1
1767,6027,1
1767,6102,1
1767,6140,1
1770,6079,1
1771,6102,1
1771,6179,1
1772,6199,1
1773,6119,1
1774,6085,1
1775,6037,1
1776,6024,1
1776,6048,1
1776,6080,1
1777,6042,1
1777,6084,1
1777,6154,1
1778,6096,1
1781,6099,1
1781,6199,1
1782,6108,1
1782,6115,1
1782,6121,1
1783,6089,1
1783,6177,1
1784,6084,1
1784,6103,1
1786,6143,1
1786,6150,1
1787,6198,1
