"Y","X","numRealSurveysInCell"
1555,5917,1
1558,5904,1
1559,5918,1
1562,5909,1
1565,5853,1
1565,5913,1
1566,5919,1
1567,5902,1
1568,5933,1
1571,5831,1
1571,5889,1
1572,5839,1
1572,5901,1
1572,5934,1
1573,5848,1
1573,5882,1
1574,5923,1
1574,5938,1
1575,5834,1
1575,5930,1
1576,5839,1
1577,5828,1
1577,5914,1
1578,5863,1
1579,5834,1
1580,5837,1
1580,5854,1
1582,5814,1
1582,5825,1
1583,5821,1
1583,5840,1
1584,5829,1
1584,5903,1
1586,5823,1
1588,5816,1
1589,5847,1
1590,5828,1
1590,5854,1
1591,5817,1
1591,5820,1
1594,5816,1
1594,5827,1
1594,5835,1
1595,5820,1
1595,5861,1
1596,5839,1
1598,5816,1
1598,5842,1
1599,5813,1
1599,5819,1
1599,5891,1
1601,5818,1
1602,5839,1
1602,5850,1
1604,5862,1
1607,5815,1
1608,5866,1
1612,5882,1
1613,5889,1
1615,5879,1
1617,5816,1
1621,5820,1
1623,5824,1
1627,5831,1
1629,5842,1
1630,5812,1
1631,5819,1
1632,5826,1
1632,5854,1
1636,6039,1
1639,6054,1
1639,6072,1
1642,5851,1
1642,5855,1
1645,6056,1
1646,5866,1
1647,6025,1
1649,5817,1
1652,6029,1
1653,6054,1
1654,6073,1
1658,6033,1
1658,6048,1
1659,5822,1
1659,6042,1
1662,6076,1
1667,5811,1
1667,6052,1
1668,5821,1
1670,6057,1
1671,5828,1
1673,6058,1
1674,5817,1
1675,6048,1
1681,6057,1
1681,6063,1
1682,5806,1
1683,5871,1
1686,5807,1
1688,6057,1
1689,6043,1
1692,5803,1
1692,5854,1
1694,6049,1
1698,5802,1
1701,6064,1
1702,5804,1
1702,5811,1
1702,5878,1
1703,6053,1
1704,5843,1
1706,5817,1
1706,6056,1
1708,6060,1
1709,5823,1
1710,5831,1
1712,5848,1
1714,6066,1
1716,5827,1
1716,6071,1
1720,5846,1
1720,5873,1
1723,6160,1
1725,5866,1
1727,6158,1
1728,6083,2
1729,5849,1
1729,6054,1
1733,5856,1
1733,6072,1
1734,6041,1
1734,6053,1
1736,6133,1
1737,5882,1
1737,6038,1
1737,6067,1
1739,6052,1
1739,6056,1
1740,5893,1
1740,6030,1
1740,6132,1
1740,6141,1
1740,6149,1
1741,6013,1
1741,6023,1
1742,5883,1
1742,6137,1
1743,6062,1
1743,6151,1
1744,5886,1
1744,6067,1
1746,6042,1
1746,6125,1
1747,5884,1
1749,6135,1
1749,6143,1
1749,6184,1
1750,6056,1
1751,6030,1
1753,6005,1
1753,6035,1
1753,6121,1
1753,6181,1
1755,6130,1
1756,6027,1
1756,6141,1
1756,6191,1
1757,5886,1
1757,6116,1
1757,6136,1
1758,6059,1
1760,5883,1
1760,6175,1
1760,6179,1
1761,6140,1
1762,6020,1
1763,6179,1
1765,6194,1
1766,6032,1
1768,6149,1
1769,6008,1
1770,6058,1
1770,6180,1
1772,6183,1
1773,6117,1
1775,6037,1
1775,6176,1
1776,6045,1
1776,6178,1
1777,6051,1
1779,5987,1
1779,6169,1
1779,6185,1
1782,6000,1
1782,6051,1
1782,6177,1
1784,6183,1
1785,5908,1
1785,5919,1
1786,5910,1
1786,6042,1
1787,5929,1
1788,5914,1
1789,5875,1
1789,5911,1
1790,5871,1
1790,6178,1
1791,5924,1
1791,5964,1
1792,5872,1
1792,5877,1
1792,5915,1
1792,6054,1
1792,6187,1
1793,5931,1
1794,5877,1
1794,5879,1
1795,5869,1
1795,5873,1
1795,5878,1
1795,5881,1
1795,6171,1
1796,6165,1
1797,5869,1
1797,5872,1
1797,5919,1
1797,6045,1
1797,6058,1
1798,5957,1
1799,6039,1
1800,5882,1
1800,6050,1
1801,5907,1
1802,5915,1
1802,6055,1
1803,5867,1
1803,5901,1
1803,5912,1
1803,6029,1
1803,6062,1
1804,5864,1
1805,5972,1
