"Y","X","numRealSurveysInCell"
1628,6063,1
1632,6045,1
1636,6040,1
1639,6072,1
1642,6033,1
1646,6028,1
1648,6073,1
1652,6065,1
1653,6057,1
1654,6030,1
1657,6049,1
1657,6074,1
1658,6035,1
1659,6042,1
1659,6058,1
1663,6076,1
1676,6057,1
1681,6063,1
1688,6058,1
1697,6056,1
1707,6056,1
1714,6058,1
1719,6056,1
1722,6061,1
1727,6055,1
1730,6050,1
1731,6079,1
1733,6056,1
1733,6071,1
1734,6064,1
1736,6049,1
1738,6054,1
1742,6056,1
1743,6062,1
1744,6012,1
1745,6019,1
1746,6085,1
1747,6068,1
1747,6076,1
1751,6031,1
1751,6035,1
1752,6023,1
1752,6049,1
1753,6056,1
1754,6005,1
1759,6031,1
1762,6034,1
1763,6038,1
1764,6011,1
1765,6027,1
1765,6044,1
1765,6099,1
1765,6122,1
1766,6019,1
1766,6127,1
1768,6008,1
1769,6101,1
1770,6131,1
1770,6139,1
1772,6047,1
1773,6119,1
1775,6113,1
1776,6009,1
1777,6108,1
1778,6024,1
1778,6096,1
1778,6139,1
1780,6084,1
1781,6018,1
1781,6030,1
1781,6078,1
1781,6129,1
1782,5908,1
1782,6105,1
1782,6113,1
1783,6124,1
1785,6135,1
1786,6020,1
1786,6080,1
1786,6150,1
1787,6142,1
1787,6627,1
1789,5909,1
1789,5927,1
1790,5907,1
1790,5920,1
1790,6078,1
1792,5913,1
1793,5932,1
1793,6088,1
1793,6101,1
1793,6121,1
1793,6129,1
1795,5939,1
1795,6095,1
1797,5911,1
1797,5925,1
1798,6075,1
1798,6629,1
1799,6132,1
1800,6069,1
1800,6143,1
1800,6149,1
1801,5917,1
1802,5890,1
1803,5898,1
1803,5916,1
1804,6084,1
1804,6137,1
1805,5947,1
1806,5922,1
1806,6071,1
1806,6130,1
1808,6064,1
1808,6145,1
1810,5861,1
1810,6023,1
1812,6137,1
1813,5934,1
1816,5897,1
1816,5947,1
1816,6064,1
1818,5895,1
1821,6002,1
1822,5959,1
1822,5969,1
1823,5857,1
1823,5865,1
1823,5882,1
1823,5995,1
1825,5864,1
1826,5976,1
1827,5875,1
1827,6614,1
1827,6659,1
1828,5995,1
1829,5827,1
1831,5825,1
1831,6663,1
1832,5966,1
1833,5860,1
1833,6667,1
1834,5835,1
1834,5979,1
1835,5823,1
1835,6665,1
1836,5821,1
1836,5869,1
1838,5845,1
1838,6665,1
1839,5852,1
1839,6653,1
1841,6663,1
1842,5874,1
1842,5992,1
1842,6666,1
1843,5862,1
1843,6658,1
1844,5996,1
1844,6018,1
1845,5990,1
1845,6014,1
1845,6658,1
1845,6668,1
1846,5994,1
