"Y","X","numRealSurveysInCell"
1741,5139,1
1751,5144,1
1756,5142,1
1762,5144,1
1767,5147,1
1772,5151,1
1779,5151,1
1792,5149,1
1801,5143,1
1808,5145,1
1813,5142,1
1828,5137,1
1831,5134,1
1845,4933,1
1850,4912,1
1851,5137,1
1852,4934,1
1853,4934,1
1854,4935,1
1854,4937,1
1854,4970,1
1854,4986,1
1856,5136,1
1858,4939,1
1860,4958,1
1860,5134,1
1862,4945,1
1862,5007,1
1865,4878,1
1865,5135,1
1866,4878,2
1872,5376,1
1872,5377,1
1873,5372,1
1875,5367,1
1876,5137,1
1878,4909,1
1881,5363,3
1883,5000,1
1883,5362,2
1884,5130,1
1884,5132,1
1886,5002,1
1888,4933,1
1888,5007,1
1889,5128,1
1891,5011,1
1893,5015,1
1893,5129,1
1894,4917,1
1898,5019,1
1898,5128,1
1904,5021,1
1904,5130,1
1905,5039,2
1906,5130,1
1909,5046,1
1910,5034,1
1910,5051,1
1911,5014,1
1911,5043,2
1911,5044,2
1915,5135,1
1917,5005,1
1918,4983,1
1919,5056,1
1921,5127,1
1922,5241,1
1924,4999,1
1931,5072,1
1932,5083,1
1934,5107,1
1935,5113,1
1938,5117,2
1943,5126,1
1952,5051,1
1956,5047,2
1959,5131,1
1962,5082,1
1971,5033,1
1977,5141,1
1984,5139,1
1994,5139,1
2000,5015,1
2015,5145,1
2018,5143,1
2037,5153,1
2038,5153,1
2041,5154,1
2044,5154,1
2051,4997,1
2070,5011,1
2078,5009,1
