"Y","X","numRealSurveysInCell"
1566,5228,1
1568,5188,1
1568,5221,1
1580,5207,1
1583,5201,1
1585,5195,1
1594,5182,1
1603,5173,1
1611,5165,1
1617,5158,1
1635,5220,1
1636,5136,1
1645,5107,1
1647,5092,1
1648,5001,1
1651,4993,1
1653,5011,1
1653,5089,1
1655,5016,1
1658,5031,1
1658,5087,1
1659,5047,1
1659,5086,2
1660,5057,1
1661,5063,1
1662,4975,1
1662,5080,1
1665,4967,1
1665,5070,1
1665,5076,1
1667,4949,1
1667,5071,1
1667,5072,2
1669,4939,1
1669,5072,1
1670,4933,1
1671,4927,1
1672,4953,1
1681,5078,1
1707,5088,1
1717,5096,1
1725,5105,1
1727,5109,1
1730,5120,1
1741,5139,1
1751,5144,1
1756,5142,1
1762,5144,1
1767,5147,1
1772,5151,1
1779,5151,1
1792,5149,1
1801,5143,1
1808,5145,1
1813,5142,1
1828,5137,1
1831,5134,1
1845,4933,1
1850,4912,1
1851,5137,1
1852,4934,1
1853,4934,1
1854,4935,1
1854,4937,1
1854,4970,1
1854,4986,1
1856,5136,1
1858,4939,1
1860,4958,1
1860,5134,1
1862,4945,1
1862,5007,1
1865,4878,1
1865,5135,1
1866,4878,2
1876,5137,1
1878,4909,1
1883,5000,1
1884,5130,1
1884,5132,1
1886,5002,1
1888,4933,1
1888,5007,1
1889,5128,1
1891,5011,1
1893,5015,1
1893,5129,1
1894,4917,1
1898,5019,1
1898,5128,1
1904,5021,1
1904,5130,1
1905,5039,2
1906,5130,1
1909,5046,1
1910,5034,1
1910,5051,1
1911,5014,1
1911,5043,2
1911,5044,2
1915,5135,1
1917,5005,1
1918,4983,1
1919,5056,1
1921,5127,1
1922,5241,1
1924,4999,1
1931,5072,1
1932,5083,1
1934,5107,1
1935,5113,1
1938,5117,2
1943,5126,1
1952,5051,1
1956,5047,2
1959,5131,1
1962,5082,1
1971,5033,1
1977,5141,1
1984,5139,1
1994,5139,1
2000,5015,1
2015,5145,1
2018,5143,1
2037,5153,1
2038,5153,1
2041,5154,1
2044,5154,1
2051,4997,1
2070,5011,1
2078,5009,1
