"Y","X","numRealSurveysInCell"
1864,6073,1
1868,5999,1
1872,6050,1
1872,6075,1
1875,5996,1
1875,6001,1
1880,6075,1
1881,6058,1
1884,6050,1
1885,6002,1
1885,6026,1
1887,6076,1
1888,6068,1
1890,6081,1
1891,6024,1
1891,6075,1
1892,6088,1
1895,6075,1
1897,6002,1
1897,6041,1
1897,6047,1
1898,6046,1
1900,6001,1
1900,6047,1
1901,6021,1
1901,6070,1
1903,6066,1
1904,6080,1
1905,6089,1
1906,6051,1
1906,6068,1
1908,6064,1
1913,6005,1
1913,6040,1
1915,6037,1
1915,6081,1
1916,6051,1
1916,6056,1
1917,6012,1
1918,6027,1
1919,6017,1
1920,6004,1
1920,6031,1
1920,6041,1
1921,6041,1
1921,6051,1
1922,6056,1
1923,6022,1
1923,6048,1
1923,6065,1
1926,6002,1
1927,6029,1
1927,6061,1
1930,6066,1
1931,6022,1
1934,6025,1
1934,6034,1
1935,6066,1
1937,5997,1
1938,6008,1
1938,6040,1
1939,6017,1
1939,6018,5
1939,6021,1
1939,6034,1
1941,6010,1
1941,6021,1
1944,6027,1
1944,6042,1
1945,6004,1
1945,6019,1
1945,6024,1
1945,6025,1
1946,6030,1
1947,6019,1
1947,6046,1
1949,6005,1
1949,6022,1
1949,6042,1
1953,5997,1
1954,6019,1
1955,5998,1
1956,6035,1
1959,6031,1
1960,5999,1
1964,5996,1
1965,6036,1
1968,6035,1
1969,5998,1
1972,6043,1
1974,6003,1
1976,6041,1
1980,5998,1
1981,5997,1
1981,6001,1
