"Y","X","numRealSurveysInCell"
3016,5633,1
3016,5642,1
3018,5586,1
3018,5619,1
3022,5614,1
3028,5591,2
3028,5600,1
3030,5596,1
3030,5597,1
3031,5594,1
3031,5595,1
3031,5607,1
3040,5604,1
3041,5602,3
3073,5593,1
3085,5589,1
3088,5594,1
3093,5580,1
3097,5575,1
3098,5569,1
3102,5567,1
3115,5563,1
3117,5557,1
3152,5552,1
3193,5555,1
3200,5550,1
3249,5543,1
3284,5552,1
3299,5559,1
3305,5586,1
3311,5559,1
3317,5577,1
3322,5563,1
3327,5574,1
3333,5568,1
3338,5570,1
3348,5576,1
3349,5578,1
3350,5578,1
3354,5588,1
3355,5594,1
3366,5564,1
3375,5560,1
