"Y","X","numRealSurveysInCell"
58,267,1
61,254,1
62,268,1
65,259,1
68,203,1
68,263,1
69,269,1
70,252,1
71,283,1
74,181,1
74,239,1
75,189,1
75,251,1
75,284,1
76,198,1
76,232,1
77,273,1
77,288,1
78,184,1
78,280,1
79,189,1
80,178,1
80,264,1
81,213,1
82,184,1
83,187,1
83,204,1
85,164,1
85,175,1
86,171,1
86,190,1
87,179,1
87,253,1
89,173,1
91,166,1
92,197,1
93,178,1
93,204,1
94,167,1
94,170,1
97,166,1
97,177,1
97,185,1
98,170,1
98,211,1
99,189,1
101,166,1
101,192,1
102,163,1
102,169,1
102,241,1
104,168,1
105,189,1
105,200,1
107,212,1
110,165,1
111,216,1
115,232,1
116,239,1
118,229,1
120,166,1
124,170,1
126,174,1
130,181,1
132,192,1
133,162,1
134,169,1
135,176,1
135,204,1
139,389,1
142,404,1
142,422,1
145,201,1
145,205,1
148,406,1
149,216,1
150,375,1
152,167,1
155,379,1
156,404,1
157,423,1
161,383,1
161,398,1
162,172,1
162,392,1
165,426,1
170,161,1
170,402,1
171,171,1
173,407,1
174,178,1
176,408,1
177,167,1
178,398,1
184,407,1
184,413,1
185,156,1
186,221,1
189,157,1
191,407,1
192,393,1
195,153,1
195,204,1
197,399,1
201,152,1
204,414,1
205,154,1
205,161,1
205,228,1
206,403,1
207,193,1
209,167,1
209,406,1
211,410,1
212,173,1
213,181,1
215,198,1
217,416,1
219,177,1
219,421,1
223,196,1
223,223,1
226,510,1
228,216,1
230,508,1
231,433,2
232,199,1
232,404,1
236,206,1
236,422,1
237,391,1
237,403,1
239,483,1
240,232,1
240,388,1
240,417,1
242,402,1
242,406,1
243,243,1
243,380,1
243,482,1
243,491,1
243,499,1
244,363,1
244,373,1
245,233,1
245,487,1
246,412,1
246,501,1
247,236,1
247,417,1
249,392,1
249,475,1
250,234,1
252,485,1
252,493,1
252,534,1
253,406,1
254,380,1
256,355,1
256,385,1
256,471,1
256,531,1
258,480,1
259,377,1
259,491,1
259,541,1
260,236,1
260,466,1
260,486,1
261,409,1
263,233,1
263,525,1
263,529,1
264,490,1
265,370,1
266,529,1
268,544,1
269,382,1
271,499,1
272,358,1
273,408,1
273,530,1
275,533,1
276,467,1
278,387,1
278,526,1
279,395,1
279,528,1
280,401,1
282,337,1
282,519,1
282,535,1
285,350,1
285,401,1
285,527,1
287,533,1
288,258,1
288,269,1
289,260,1
289,392,1
290,279,1
291,264,1
292,225,1
292,261,1
293,221,1
293,528,1
294,274,1
294,314,1
295,222,1
295,227,1
295,265,1
295,404,1
295,537,1
296,281,1
297,227,1
297,229,1
298,219,1
298,223,1
298,228,1
298,231,1
298,521,1
299,515,1
300,219,1
300,222,1
300,269,1
300,395,1
300,408,1
301,307,1
302,389,1
303,232,1
303,400,1
304,257,1
305,265,1
305,405,1
306,217,1
306,251,1
306,262,1
306,379,1
306,412,1
307,214,1
308,322,1
309,212,1
309,406,1
310,257,1
310,372,1
310,396,1
311,385,1
313,316,1
313,326,1
314,209,1
314,397,1
315,256,1
315,333,1
315,401,1
317,379,1
319,391,1
322,366,1
323,215,1
323,251,1
323,348,2
324,266,1
324,373,1
325,238,1
325,365,1
326,232,1
327,209,1
327,228,1
329,354,1
331,220,1
332,204,1
332,213,1
334,198,1
334,224,1
336,205,1
340,189,1
341,406,1
342,197,1
342,536,1
345,341,1
346,211,1
348,372,1
349,355,2
349,502,1
351,200,1
351,422,1
351,450,1
351,508,1
352,210,1
352,568,1
353,492,1
354,348,1
354,478,1
354,571,1
355,378,1
355,379,1
355,509,1
356,566,1
357,206,1
357,486,1
357,516,1
357,562,1
357,565,1
359,558,1
359,569,1
360,450,1
360,562,1
360,574,1
361,494,1
361,516,1
361,574,1
363,462,1
363,502,1
363,511,1
363,557,1
363,559,1
364,349,1
365,209,1
366,500,1
366,575,1
367,494,1
367,506,1
367,512,1
367,564,1
367,567,1
367,575,1
368,448,1
369,433,1
369,480,1
369,488,1
369,500,1
369,574,2
369,579,1
371,202,1
371,414,1
372,571,1
373,478,1
375,158,1
375,168,1
375,471,1
377,152,1
377,356,1
377,442,1
377,484,1
379,162,1
381,133,1
383,189,1
383,438,1
383,458,1
383,480,1
383,510,1
384,154,1
384,356,2
384,430,1
384,458,1
384,480,1
384,503,1
385,574,1
387,432,1
388,571,1
389,126,1
389,466,1
389,478,1
390,154,1
390,156,1
390,368,1
391,135,1
391,428,1
391,565,1
393,422,1
393,430,1
393,476,1
393,480,1
393,567,1
394,564,1
394,567,1
395,147,1
395,337,1
395,398,1
395,466,1
395,567,1
395,572,1
395,577,1
396,159,1
396,447,1
397,316,1
397,354,1
397,458,1
397,468,1
397,573,1
398,140,1
398,365,1
398,476,1
398,579,1
399,424,1
399,445,1
399,472,1
399,474,1
400,356,1
400,371,1
400,572,1
401,564,1
402,173,1
402,320,1
402,357,1
402,580,1
403,398,1
403,428,1
403,441,1
404,342,1
405,336,1
405,566,1
405,578,1
407,407,1
407,576,1
408,450,1
409,565,1
410,339,1
410,347,1
411,180,1
411,438,1
412,342,1
412,354,1
413,199,1
413,325,1
413,400,1
414,331,1
415,402,1
417,346,1
417,354,1
417,413,1
418,322,1
418,432,1
419,213,1
419,351,1
421,355,1
421,364,1
421,400,1
422,334,1
423,377,1
423,394,1
423,402,1
423,414,1
424,231,1
425,345,1
425,404,1
427,228,1
427,270,1
427,328,1
427,398,1
428,347,1
428,407,1
429,222,1
429,358,1
430,243,1
430,274,1
430,362,1
431,332,1
431,391,1
431,400,1
431,414,1
432,307,1
432,347,1
433,367,1
434,354,1
435,252,1
435,414,1
436,361,1
437,404,1
439,261,1
439,352,1
440,270,1
441,299,1
441,342,1
441,372,1
442,348,1
443,214,1
443,408,1
444,328,1
444,413,1
445,234,1
445,277,1
446,336,1
446,371,1
447,330,1
449,249,1
449,333,1
449,344,1
450,195,1
450,281,1
451,209,1
451,269,1
451,384,1
453,348,1
454,280,1
454,358,1
454,372,1
457,205,1
457,385,1
459,198,1
460,397,1
461,346,1
461,351,1
461,393,1
461,399,1
462,390,1
463,380,1
465,380,1
465,385,1
467,376,1
467,380,1
471,388,1
473,400,1
473,410,1
474,328,1
475,321,1
475,352,1
475,392,1
476,339,1
476,402,1
477,315,1
477,392,1
477,408,1
479,392,1
482,350,1
485,296,1
485,326,1
486,355,1
487,342,1
489,365,1
490,321,1
491,361,1
494,337,1
495,306,1
498,312,1
500,306,1
501,307,1
503,302,1
505,294,1
505,300,1
637,540,1
643,537,1
646,563,1
646,570,1
648,565,1
648,573,1
650,579,1
652,541,1
655,231,1
656,587,1
658,587,1
660,253,1
660,555,1
661,548,1
662,266,1
663,583,1
665,562,1
668,572,1
669,564,1
671,585,1
671,594,1
673,600,1
673,607,1
674,197,1
677,555,1
678,542,1
681,264,1
