"Y","X","numRealSurveysInCell"
2869,6051,1
2873,6001,1
2874,6089,1
2877,6072,1
2879,6061,1
2882,6077,1
2883,6018,1
2886,6050,1
2887,6017,1
2888,6074,1
2889,6022,1
2893,6014,1
2894,6049,1
2894,6078,1
2897,5981,1
2897,6007,1
2899,5972,1
2901,5989,1
2901,6068,1
2901,6090,1
2902,6018,1
2902,6051,1
2902,6081,1
2906,6051,1
2907,5981,1
2908,5990,1
2908,5998,1
2908,6062,1
2910,5994,1
2912,6083,1
2913,6004,2
2914,6009,1
2914,6052,1
2915,6016,1
2917,5975,1
2918,6027,1
2919,6084,1
2920,6021,1
2921,6023,1
2921,6061,1
2922,5980,1
2922,6005,1
2923,5985,1
2924,6043,1
2926,6065,1
2927,6018,1
2928,6006,1
2929,6041,1
2930,6012,1
2932,6012,1
2932,6017,1
2933,6025,1
2934,6071,1
2937,6024,1
2937,6072,1
2938,6042,1
2939,6003,1
2939,6008,1
2939,6079,1
2941,6035,1
2941,6081,1
2942,5983,1
2942,6025,1
2943,6029,1
2944,6010,1
2946,6005,1
2949,5993,1
2949,6010,1
2950,6077,1
2951,6015,1
2953,6029,1
2953,6034,1
2961,5982,1
2961,6036,1
2966,5980,1
2967,5972,1
2967,5983,1
2967,6042,1
2969,5976,1
2969,5981,1
2970,6053,1
2971,6043,1
2971,6059,1
2975,6040,1
2976,5981,1
2981,6010,1
2983,5979,1
2989,5973,1
2989,6001,1
