"Y","X","numRealSurveysInCell"
2767,6059,1
2770,6118,1
2773,6046,1
2774,6052,1
2776,6170,1
2779,6052,1
2789,6055,1
2792,6172,1
2793,6166,1
2794,6046,1
2794,6059,1
2797,6051,1
2799,6056,1
2800,6063,1
2803,6057,1
2804,6047,1
2808,6048,1
2809,6052,1
2835,6057,1
2843,6153,1
2845,6073,1
2845,6101,1
2845,6159,1
2847,6143,1
2848,6129,1
2849,6160,1
2851,6137,1
2851,6167,1
2854,6101,1
2855,6145,1
2855,6167,1
2857,6113,1
2857,6153,1
2857,6162,1
2860,6151,1
2861,6145,1
2861,6157,1
2861,6163,1
2862,6099,1
2863,6084,1
2863,6131,1
2863,6139,1
2863,6151,1
2865,6065,1
2867,6129,1
2869,6122,1
2871,6093,1
2871,6135,1
2877,6089,1
2877,6109,1
2877,6131,1
2877,6161,1
2878,6081,1
2878,6109,1
2878,6131,1
2878,6154,1
2881,6083,1
2883,6117,1
2883,6129,1
2885,6079,1
2887,6073,1
2887,6081,1
2887,6127,1
2887,6131,1
2889,6049,1
2889,6117,1
2890,6098,1
2891,6109,1
2891,6119,1
2892,6127,1
2893,6075,1
2893,6096,1
2893,6123,1
2893,6125,1
2897,6049,1
2897,6079,1
2897,6092,1
2901,6058,1
2902,6101,1
