"Y","X","numRealSurveysInCell"
2551,5919,1
2556,5919,1
2558,6177,1
2558,6179,1
2559,5910,1
2559,5919,1
2559,6177,2
2562,5915,1
2563,5921,1
2564,5903,1
2565,5853,1
2568,5902,1
2568,5934,1
2568,6151,1
2569,5833,1
2569,5923,1
2569,6147,1
2569,6148,1
2570,5848,1
2570,5881,1
2570,5892,1
2570,6147,1
2571,5838,1
2572,5839,1
2572,5927,1
2572,5934,1
2572,6149,1
2573,5830,1
2573,5922,1
2573,6149,1
2573,6150,1
2574,5855,1
2575,6200,1
2576,5835,1
2577,5954,1
2578,5822,1
2578,5824,1
2578,5861,1
2578,5925,1
2579,5819,1
2579,5840,1
2579,5904,1
2581,5826,1
2581,5933,1
2582,5824,1
2582,5830,1
2582,5946,1
2583,5846,1
2584,5818,1
2584,5852,1
2585,5818,1
2585,5855,1
2586,5824,1
2586,5829,1
2586,6069,1
2587,5817,1
2587,5945,1
2588,5918,1
2589,5828,1
2589,5843,1
2590,5843,1
2590,5898,1
2591,5817,1
2591,5837,1
2592,5821,1
2592,5826,1
2592,6074,1
2593,5831,1
2593,5858,1
2593,5937,1
2595,5817,1
2595,5847,1
2595,6060,1
2595,6091,1
2597,5892,1
2597,5910,1
2597,5924,1
2597,6105,1
2598,5819,1
2598,5858,1
2598,5929,1
2599,5853,1
2599,6043,1
2600,6053,1
2601,5863,1
2601,5919,1
2602,5816,1
2602,6041,1
2602,6045,1
2602,6050,1
2603,5907,1
2603,5917,1
2603,5928,1
2603,6096,1
2605,5890,1
2605,6054,1
2606,5868,1
2606,6067,1
2608,5910,1
2608,5919,1
2608,6055,1
2609,5881,1
2609,5887,1
2609,5916,1
2609,6077,1
2611,5913,1
2611,6048,1
2612,6063,1
2613,6051,1
2614,5915,1
2615,6043,1
2615,6055,1
2619,6159,2
2621,5922,1
2621,6079,1
2621,6085,1
2623,5988,1
2624,6172,1
2626,6050,1
2628,5821,1
2629,5813,1
2629,5827,1
2631,5834,1
2631,5988,1
2631,6044,1
2631,6177,1
2632,6100,1
2633,5839,1
2637,6182,1
2638,5984,1
2639,6034,1
2639,6047,1
2640,5971,1
2640,6105,1
2641,6056,1
2642,5863,1
2642,6178,1
2643,5871,1
2643,5992,1
2645,5979,1
2645,6013,1
2646,5989,1
2647,5814,1
2647,5819,1
2648,6091,1
2649,6168,1
2651,5996,1
2652,6073,1
2653,5979,1
2653,6059,1
2655,6004,1
2656,5987,1
2657,6059,1
2657,6188,1
2658,5823,1
2658,6105,1
2659,5814,1
2660,6186,2
2661,5979,1
2661,6001,1
2661,6185,1
2662,5825,1
2662,6060,1
2662,6185,1
2665,5810,1
2665,5822,1
2665,6102,1
2666,5988,1
2668,5829,1
2668,6096,1
2668,6136,1
2669,6003,1
2669,6010,1
2669,6110,1
2670,5992,1
2671,5821,1
2671,6139,1
2672,5816,1
2672,6145,1
2673,6130,1
2674,5809,1
2674,5982,1
2674,6046,1
2674,6134,1
2674,6142,1
2675,5804,1
2676,6067,1
2678,6143,1
2680,5806,1
2680,6058,1
2683,6131,1
2684,5808,1
2686,6143,1
2687,5985,1
2688,6079,1
2689,5803,1
2689,6140,1
2689,6156,1
2691,6150,1
2692,6135,1
2692,6141,1
2694,6164,1
2695,6147,1
2696,5814,1
2696,5993,1
2698,5802,1
2699,6139,1
2699,6164,1
2699,6167,1
2700,5808,1
2700,6140,1
2700,6202,1
2702,5840,1
2703,5816,1
2704,5847,1
2704,5864,1
2706,6240,1
2707,5820,1
2708,5854,1
2709,5849,1
2709,6243,1
2711,5826,1
2712,6055,1
2713,6254,1
2714,6182,1
2716,6176,1
2717,6173,1
2718,5848,1
2718,5872,1
2718,6229,1
2719,6056,1
2720,6073,1
2720,6079,1
2721,6226,1
2722,5845,1
2722,6224,1
2725,6085,1
2727,5850,1
2727,6044,1
2728,5864,1
2730,5856,1
2731,5974,1
2731,6132,1
2731,6209,1
2732,5975,1
2732,5978,1
2732,6209,1
2733,6010,1
2734,5979,2
2734,6039,1
2734,6211,1
2734,6214,1
2735,6137,1
2736,6088,1
2737,6207,1
2739,6033,1
2740,6018,1
2740,6122,1
2740,6144,1
2741,6061,1
2741,6143,1
2742,6055,1
2743,5980,1
2743,6089,1
2744,6068,1
2745,6078,1
2746,6061,1
2746,6122,1
2748,6023,1
2748,6028,1
2748,6044,1
2748,6143,1
2748,6144,1
2751,6108,1
2752,6121,1
2752,6131,1
2753,5967,1
2753,6122,1
2753,6178,1
2753,6192,1
2754,6079,1
2754,6116,1
2755,6116,1
2755,6156,1
2756,6182,1
2757,6089,1
2757,6107,1
2757,6149,1
2757,6150,1
2757,6175,1
2758,6044,1
2758,6121,1
2759,6036,1
2759,6122,1
2760,6104,1
2760,6160,1
2761,6072,1
2761,6271,1
2762,6004,1
2762,6252,1
2764,6127,1
2764,6142,1
2764,6145,1
2764,6165,1
2765,5996,1
2765,6086,1
2765,6150,1
2765,6173,1
2766,6178,1
2766,6197,1
2766,6251,1
2767,6035,1
2767,6181,1
2769,6110,1
2769,6178,1
2769,6185,1
2770,6099,1
2771,6090,1
2771,6154,1
2772,5939,1
2772,6029,1
2772,6177,1
2773,5945,1
2773,5953,1
2773,6080,1
2773,6274,1
2773,6275,2
2774,5989,1
2775,5926,1
2775,5950,1
2775,6132,1
2775,6169,1
2776,6153,1
2776,6160,1
2776,6201,1
2777,5912,1
2777,6006,1
2777,6074,1
2777,6094,1
2777,6153,1
2777,6160,1
2777,6179,1
2777,6180,1
2777,6202,1
2778,6011,1
2779,5944,1
2779,6022,1
2779,6083,1
2779,6107,1
2779,6115,1
2779,6273,1
2779,6274,1
2780,5985,1
2781,5919,1
2781,5951,1
2781,5978,1
2781,6098,1
2782,5997,1
2782,6072,1
2782,6136,1
2783,5910,1
2783,6078,1
2784,5989,1
2784,6086,1
2784,6143,1
2784,6176,1
2784,6178,1
2785,5946,1
2785,6055,1
2785,6083,1
2785,6107,1
2785,6256,1
2786,5925,1
2786,6073,1
2786,6130,1
2786,6153,1
2788,6051,1
2789,6082,1
2789,6181,1
2789,6198,1
2790,5933,1
2790,6045,1
2790,6089,1
2791,6108,1
2791,6157,1
2792,5913,1
2792,6061,1
2792,6173,1
2793,5881,1
2793,6099,1
2793,6156,1
2794,5947,2
2794,6054,1
2794,6144,1
2794,6152,1
2794,6166,1
2794,6177,1
2795,5954,1
2795,6077,1
2795,6165,1
2795,6178,1
2795,6195,1
2796,5920,1
2796,5954,1
2796,6063,1
2797,5866,1
2797,5909,1
2798,6070,1
2799,6149,1
2800,5888,1
2800,5902,1
2800,6138,1
2801,6048,1
2801,6061,1
2802,5858,1
2802,5893,1
2803,6044,1
2803,6053,1
2803,6057,1
2805,6037,1
2805,6065,1
2806,5915,1
2806,6052,1
2807,5862,1
2807,6057,1
2807,6124,1
2807,6138,1
2807,6141,1
2808,6120,1
2809,6159,1
2810,5952,1
2810,6030,1
2810,6048,1
2810,6052,1
2810,6164,1
2811,5899,1
2811,5940,1
2811,5949,1
2812,5945,1
2812,6168,1
2813,5846,1
2813,6045,1
2814,5865,1
2815,6138,1
2815,6186,1
2816,5954,1
2816,6158,1
2817,5916,1
2817,6174,1
2818,5856,1
2818,5987,1
2818,5993,1
2818,6025,1
2818,6163,1
2819,5888,1
2819,5968,1
2819,6005,1
2820,6018,1
2820,6178,1
2820,6184,1
2821,5972,1
2823,5878,1
2823,6136,1
2823,6158,1
2824,5865,1
2824,5913,1
2824,6115,1
2824,6190,1
2825,6124,1
2825,6176,1
2825,6180,1
2826,5828,1
2826,6009,1
2827,5834,1
2827,6108,1
2827,6165,1
2827,6193,1
2827,6198,1
2828,6187,1
2830,5920,1
2830,6129,1
2832,6013,1
2832,6191,1
2833,5871,1
2833,6182,1
2834,5840,1
2834,5864,1
2834,6176,1
2835,5856,1
2835,6003,1
2835,6042,1
2835,6190,1
2835,6203,1
2836,6173,1
2837,5849,1
2839,6029,1
2840,5996,1
2840,6022,1
2840,6174,1
2840,6180,1
2840,6195,1
2841,5877,1
2841,6204,1
2842,6031,1
2843,6003,1
2843,6011,1
2843,6154,1
2843,6187,1
2844,6150,1
2844,6159,1
2845,5839,1
2845,6031,1
2845,6101,1
2845,6147,1
2846,5852,1
2847,6132,1
2847,6144,1
2847,6201,1
2847,6217,1
2848,5860,1
2848,6125,1
2848,6130,1
2848,6142,1
2848,6154,1
2848,6160,1
2848,6183,1
2848,6195,1
2850,6138,1
2850,6168,1
2850,6178,1
2851,6048,1
2851,6179,1
2851,6185,1
2851,6215,1
2851,6219,1
2852,6032,1
2852,6141,1
2852,6184,1
2852,6190,1
2853,6109,1
2853,6162,1
2853,6196,1
2854,6101,1
2854,6167,1
2854,6200,1
2854,6208,1
2854,6213,1
2854,6215,1
2855,5911,1
2855,6145,1
2855,6156,1
2855,6179,1
2855,6188,1
2855,6209,1
2855,6213,1
2856,5892,1
2856,6161,1
2856,6162,1
2856,6172,1
2856,6185,1
2856,6200,1
2857,6021,1
2857,6148,1
2857,6153,1
2857,6165,1
2857,6204,1
2857,6207,1
2858,6230,1
2859,5927,1
2859,6216,1
2859,6223,1
2859,6224,1
2859,6225,1
2859,6227,1
2859,6229,1
2860,5899,1
2860,6151,1
2860,6154,1
2860,6204,1
2860,6209,1
2860,6224,1
2860,6229,1
2861,6145,1
2861,6158,1
2861,6162,1
2861,6163,1
2861,6223,1
2861,6230,1
2862,6099,1
2862,6151,1
2862,6216,1
2862,6231,2
2863,6140,1
2863,6203,1
2863,6231,1
2864,6100,1
2864,6207,1
2864,6222,1
2865,6209,1
2865,6219,1
2866,6218,1
2867,5873,1
2867,6154,1
2868,6203,1
2868,6211,1
2869,6154,1
2869,6213,1
2869,6215,1
2870,6211,1
2871,5868,1
2871,5902,1
2871,5927,1
2871,6093,1
2872,6211,1
2872,6214,1
2873,6201,1
2873,6206,1
2877,5835,1
2879,5876,1
2879,6205,1
2880,5863,1
2881,6188,1
2881,6196,1
2881,6209,1
2882,5824,1
2882,6192,1
2883,6198,1
2884,6188,1
2885,5816,1
2885,5877,1
2885,5893,1
2885,5903,1
2885,6193,1
2886,6215,1
2887,5915,1
2887,6127,1
2887,6134,1
2887,6204,1
2887,6211,2
2888,5801,1
2888,6224,1
2889,5794,1
2889,6094,1
2889,6218,1
2889,6223,1
2889,6228,1
2890,5809,1
2890,5920,1
2890,6098,1
2890,6195,1
2890,6204,1
2891,6182,1
2891,6190,1
2891,6221,1
2891,6222,1
2892,5817,1
2892,6096,1
2892,6178,1
2892,6209,1
2893,6167,1
2893,6209,1
2893,6219,1
2893,6228,1
2894,6173,1
2894,6177,1
2895,6096,1
2895,6121,1
2895,6209,1
2896,5928,1
2897,5824,1
2897,5873,1
2897,6092,1
2897,6211,1
2897,6229,1
2897,6230,1
2898,5918,1
2899,6113,1
2899,6148,1
2899,6168,1
2899,6175,1
2899,6177,1
2899,6208,1
2899,6229,1
2899,6230,1
2900,6094,1
2900,6196,1
2900,6205,1
2900,6212,1
2900,6219,1
2900,6220,1
2900,6227,1
2900,6228,1
2901,5793,1
2901,6187,1
2902,6218,1
2902,6222,1
2903,5868,1
2903,6168,1
2903,6172,1
2903,6192,1
2903,6217,1
2904,5732,1
2904,5938,1
2904,6108,1
2904,6177,1
2905,5794,1
2905,5830,1
2905,5858,1
2906,6092,1
2906,6140,1
2906,6155,1
2906,6182,1
2906,6206,1
2906,6219,1
