SimulationStartTime,SimulationLength,ManagementEnable,RasterEnable,RasterFrequency,RasterEnable_0_REMOVED,DetectionEnable,DetectionFrequency,DetectionFirst,DetectionParameter,DetectionUseNewSurvey,DetectionMaxPopSize,DetectionSampleProportion,ControlCullEnable,ControlCullFrequency,ControlCullFirst,ControlCullControlMethodSpecification,ControlCullControlMethodBlanketName,ControlCullControlIntensitySpecification,ControlCullRadius,ControlCullEffectiveness,ControlCullForget,Rate_0_RtoS
0,15,0,1,0.5,1,1,1,2,0,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.1,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.2,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.3,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.4,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.5,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.6,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.7,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.8,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,0.9,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
0,15,0,1,0.5,1,1,1,2,1,1,1000,1,1,1,2.000001,BLANKET,ROGUE,BLANKET,0,1,1,1000000000000
