"POLY_ID","raster_num_fields","raster_num_cells_populated","raster_prop_fields","raster_year","raster_type","job","batch","scenario","simKey","year_standardised"
"CMR",0.727315664291382,1,1.48155880453873e-07,2050,"INFECTIOUS","job1030","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1030-0",1
"CMR",1.34242081642151,1,2.73454220445411e-07,2034,"INFECTIOUS","job1043","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1043-0",1
"CMR",7.1521201133728,6,1.45690338395364e-06,2038,"INFECTIOUS","job1107","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1107-0",1
"CMR",1.34242081642151,1,2.73454220445411e-07,2039,"INFECTIOUS","job1139","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1139-0",1
"CMR",4.13231563568115,4,8.41762238015506e-07,2049,"INFECTIOUS","job1168","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1168-0",1
"CMR",10198.6884765625,83,0.00207749639517532,2039,"INFECTIOUS","job1205","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1205-0",1
"CMR",1.34242081642151,1,2.73454220445411e-07,2037,"INFECTIOUS","job1216","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1216-0",1
"CMR",1.34242081642151,1,2.73454220445411e-07,2027,"INFECTIOUS","job1295","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1295-0",1
"CMR",275.345031738281,18,5.60884188374108e-05,2037,"INFECTIOUS","job1428","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1428-0",1
"CMR",354.883453369141,7,7.22905790069055e-05,2039,"INFECTIOUS","job1440","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1440-0",1
"CMR",730.863891601562,39,0.000148878662551111,2040,"INFECTIOUS","job1455","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1455-0",1
"CMR",4614.53662109375,19,0.00093999176636857,2050,"INFECTIOUS","job1488","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1488-0",1
