"POLY_ID","raster_num_fields","raster_num_cells_populated","raster_prop_fields","raster_year","raster_type","job","batch","scenario","simKey","year_standardised"
"NGA",10870254,60689,0.19311644724894,2044,"INFECTIOUS","job1043","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1043-0",1
"NGA",18165.4296875,356,0.000322719528356966,2048,"INFECTIOUS","job1107","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1107-0",1
"NGA",19.9051113128662,11,3.53625994280851e-07,2048,"INFECTIOUS","job1205","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1205-0",1
"NGA",1467477.875,30864,0.0260706064123639,2046,"INFECTIOUS","job1216","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1216-0",1
"NGA",10708655,72431,0.190245546094378,2036,"INFECTIOUS","job1295","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1295-0",1
"NGA",1100628.5,18924,0.0195533117865442,2044,"INFECTIOUS","job1428","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1428-0",1
"NGA",2570.2490234375,268,4.5661983606943e-05,2052,"INFECTIOUS","job1440","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1440-0",1
"NGA",563154.125,8939,0.0100047638144965,2047,"INFECTIOUS","job1455","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1455-0",1
"NGA",4.03158473968506,1,7.1623470961306e-08,2047,"INFECTIOUS","job1526","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1526-0",1
"NGA",386984.09375,8219,0.0068749997310873,2037,"INFECTIOUS","job163","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job163-0",1
"NGA",9451880,50271,0.167918200018446,2042,"INFECTIOUS","job1666","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1666-0",1
"NGA",222234.875,3253,0.00394813309006507,2041,"INFECTIOUS","job1673","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1673-0",1
"NGA",20174130,114727,0.358405269273216,2042,"INFECTIOUS","job1679","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1679-0",1
"NGA",129721.34375,4601,0.00230457586707343,2039,"INFECTIOUS","job170","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job170-0",1
"NGA",12844.279296875,777,0.0002281861661453,2047,"INFECTIOUS","job1748","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1748-0",1
"NGA",986017.4375,22822,0.0175171789413112,2039,"INFECTIOUS","job1761","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1761-0",1
"NGA",175775.1875,4179,0.0031227494522682,2041,"INFECTIOUS","job1802","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1802-0",1
"NGA",9601001,77039,0.170567422173715,2047,"INFECTIOUS","job1823","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1823-0",1
"NGA",858379.5,20453,0.0152496160100142,2037,"INFECTIOUS","job1838","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1838-0",1
