"detectionProbTrained","numSurveysTrained","detectionProbTest","numSurveysTest","objVal"
0.01,250,0.01,250,0.03210208164759
0.01,250,0.1,250,0.0919237247977817
0.01,250,0.25,250,0.106771871594235
0.01,250,0.5,250,0.115488049524177
0.01,250,0.85,250,0.122964385332663
0.1,250,0.01,250,0.0225403223292061
0.1,250,0.1,250,0.121689246030494
0.1,250,0.25,250,0.172939951879248
0.1,250,0.5,250,0.201037709108958
0.1,250,0.85,250,0.215022742482829
0.25,250,0.01,250,0.0166836262585943
0.25,250,0.1,250,0.112849749199184
0.25,250,0.25,250,0.183416697286852
0.25,250,0.5,250,0.227323780928796
0.25,250,0.85,250,0.248055799861941
0.5,250,0.01,250,0.0129137319021065
0.5,250,0.1,250,0.0975729660559532
0.5,250,0.25,250,0.174788907149588
0.5,250,0.5,250,0.236102886372515
0.5,250,0.85,250,0.269631011438428
0.85,250,0.01,250,0.00962699197851609
0.85,250,0.1,250,0.0777436665038284
0.85,250,0.25,250,0.150320543580754
0.85,250,0.5,250,0.224203122708756
0.85,250,0.85,250,0.280632685632431
0.01,500,0.01,500,0.0489912306202356
0.01,500,0.1,500,0.110446563636848
0.01,500,0.25,500,0.125440428602656
0.01,500,0.5,500,0.137100189492933
0.01,500,0.85,500,0.14665770366426
0.1,500,0.01,500,0.0344258785785443
0.1,500,0.1,500,0.162140332046903
0.1,500,0.25,500,0.215701274653181
0.1,500,0.5,500,0.24066131237564
0.1,500,0.85,500,0.254044164058383
0.25,500,0.01,500,0.0254507099638929
0.25,500,0.1,500,0.150632671011997
0.25,500,0.25,500,0.22759680972903
0.25,500,0.5,500,0.270823677779437
0.25,500,0.85,500,0.292345507982761
0.5,500,0.01,500,0.019632064228231
0.5,500,0.1,500,0.129357052253332
0.5,500,0.25,500,0.216155049531835
0.5,500,0.5,500,0.281357752196005
0.5,500,0.85,500,0.317251347729231
0.85,500,0.01,500,0.0146274438663867
0.85,500,0.1,500,0.104267195799317
0.85,500,0.25,500,0.188689578908924
0.85,500,0.5,500,0.269803046988434
0.85,500,0.85,500,0.326814704029803
0.01,750,0.01,750,0.0604034870152915
0.01,750,0.1,750,0.136275223529483
0.01,750,0.25,750,0.162714441094419
0.01,750,0.5,750,0.182236272971303
0.01,750,0.85,750,0.195842196565679
0.1,750,0.01,750,0.0428192709161132
0.1,750,0.1,750,0.185412751812293
0.1,750,0.25,750,0.238904255393147
0.1,750,0.5,750,0.264744773399892
0.1,750,0.85,750,0.279835580125631
0.25,750,0.01,750,0.0315560146031074
0.25,750,0.1,750,0.172881506173862
0.25,750,0.25,750,0.253315569276194
0.25,750,0.5,750,0.296590331586007
0.25,750,0.85,750,0.319609213580667
0.5,750,0.01,750,0.023934260753065
0.5,750,0.1,750,0.146740628837293
0.5,750,0.25,750,0.239076133751867
0.5,750,0.5,750,0.306577210253294
0.5,750,0.85,750,0.344640676350972
0.85,750,0.01,750,0.019491842019669
0.85,750,0.1,750,0.121623979802129
0.85,750,0.25,750,0.21018593108652
0.85,750,0.5,750,0.293724724152868
0.85,750,0.85,750,0.35172462986651
0.01,1000,0.01,1000,0.0700778427738721
0.01,1000,0.1,1000,0.15743295464905
0.01,1000,0.25,1000,0.185955564916121
0.01,1000,0.5,1000,0.204475417208234
0.01,1000,0.85,1000,0.217224355840159
0.1,1000,0.01,1000,0.0499509908116297
0.1,1000,0.1,1000,0.202287556406197
0.1,1000,0.25,1000,0.255705186322854
0.1,1000,0.5,1000,0.281574834726241
0.1,1000,0.85,1000,0.29662609440587
0.25,1000,0.01,1000,0.0368704377031658
0.25,1000,0.1,1000,0.189436161243669
0.25,1000,0.25,1000,0.269851852909036
0.25,1000,0.5,1000,0.312082040357136
0.25,1000,0.85,1000,0.336214013714396
0.5,1000,0.01,1000,0.0278594946402741
0.5,1000,0.1,1000,0.160241790265732
0.5,1000,0.25,1000,0.256317797893834
0.5,1000,0.5,1000,0.324424731127924
0.5,1000,0.85,1000,0.363271617719135
0.85,1000,0.01,1000,0.023788785331767
0.85,1000,0.1,1000,0.136519624985395
0.85,1000,0.25,1000,0.229568105088355
0.85,1000,0.5,1000,0.31428880762515
0.85,1000,0.85,1000,0.370683175249871
