"inputsKey","targetYear","numSurveys","detectionProb","objVal"
"cc_NGA_year_0",2015,558,0.01,0.0018446413831495
"cc_NGA_year_0",2015,558,0.1,0.0164267788079041
"cc_NGA_year_0",2015,558,0.25,0.0347331592615475
"cc_NGA_year_0",2015,558,0.5,0.0555749080768471
"cc_NGA_year_0",2015,558,0.85,0.0748390880793798
"cc_NGA_year_0",2016,227,0.01,0.000506471377034084
"cc_NGA_year_0",2016,227,0.1,0.00489132550885105
"cc_NGA_year_0",2016,227,0.25,0.0115544150118239
"cc_NGA_year_0",2016,227,0.5,0.0211111724370928
"cc_NGA_year_0",2016,227,0.85,0.0319166589107533
"cc_NGA_year_0",2017,559,0.01,0.0019836583163537
"cc_NGA_year_0",2017,559,0.1,0.0149376434527171
"cc_NGA_year_0",2017,559,0.25,0.0260274524537974
"cc_NGA_year_0",2017,559,0.5,0.0346820833884663
"cc_NGA_year_0",2017,559,0.85,0.0413726271340479
"cc_NGA_year_0",2020,1090,0.01,0.00302096477434049
"cc_NGA_year_0",2020,1090,0.1,0.0226716098198942
"cc_NGA_year_0",2020,1090,0.25,0.0408537609619099
"cc_NGA_year_0",2020,1090,0.5,0.0580118661829367
"cc_NGA_year_0",2020,1090,0.85,0.0728264813802017
