"POLY_ID","raster_num_fields","raster_num_cells_populated","raster_prop_fields","raster_year","raster_type","job","batch","scenario","simKey","year_standardised"
"NGA",10870254,60689,0.19311644724894,2044,"INFECTIOUS","job1043","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1043-0",1
"NGA",1172538.25,18077,0.0208308307334391,2049,"INFECTIOUS","job1107","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1107-0",2
"NGA",14549939,101940,0.25848821263687,2050,"INFECTIOUS","job1205","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1205-0",3
"NGA",1467477.875,30864,0.0260706064123639,2046,"INFECTIOUS","job1216","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1216-0",1
"NGA",10708655,72431,0.190245546094378,2036,"INFECTIOUS","job1295","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1295-0",1
"NGA",1100628.5,18924,0.0195533117865442,2044,"INFECTIOUS","job1428","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1428-0",1
"NGA",1630603.75,22206,0.0289686333981523,2053,"INFECTIOUS","job1440","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1440-0",2
"NGA",563154.125,8939,0.0100047638144965,2047,"INFECTIOUS","job1455","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1455-0",1
"NGA",6282159,37362,0.111606244631722,2049,"INFECTIOUS","job1526","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1526-0",3
"NGA",15422196,85173,0.273984370585711,2038,"INFECTIOUS","job163","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job163-0",2
"NGA",9451880,50271,0.167918200018446,2042,"INFECTIOUS","job1666","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1666-0",1
"NGA",4278083.5,51895,0.0760026662260431,2042,"INFECTIOUS","job1673","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1673-0",2
"NGA",20174130,114727,0.358405269273216,2042,"INFECTIOUS","job1679","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1679-0",1
"NGA",17014902,104815,0.302279728194841,2040,"INFECTIOUS","job170","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job170-0",2
"NGA",8158300,55815,0.144936991499097,2048,"INFECTIOUS","job1748","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1748-0",2
"NGA",986017.4375,22822,0.0175171789413112,2039,"INFECTIOUS","job1761","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1761-0",1
"NGA",13065247,106513,0.232111787182698,2042,"INFECTIOUS","job1802","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1802-0",2
"NGA",9601001,77039,0.170567422173715,2047,"INFECTIOUS","job1823","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1823-0",1
"NGA",858379.5,20453,0.0152496160100142,2037,"INFECTIOUS","job1838","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1838-0",1
"NGA",584110.75,11215,0.0103770705670644,2052,"INFECTIOUS","job1850","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1850-0",1
"NGA",2219589.25,33589,0.0394323067622835,2042,"INFECTIOUS","job1881","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1881-0",2
"NGA",5582573.5,32319,0.0991776973036766,2043,"INFECTIOUS","job1885","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1885-0",1
"NGA",854456.5,17056,0.0151799216107336,2050,"INFECTIOUS","job196","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job196-0",3
"NGA",1470032.75,18154,0.0261159952674141,2043,"INFECTIOUS","job197","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job197-0",1
"NGA",10215068,56021,0.181476683117647,2054,"INFECTIOUS","job2003","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2003-0",2
"NGA",2051972.375,17617,0.0364544945235842,2041,"INFECTIOUS","job2033","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2033-0",1
"NGA",2072027.875,24569,0.0368107922612269,2048,"INFECTIOUS","job2051","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2051-0",1
"NGA",676153.6875,11923,0.0120122674156712,2048,"INFECTIOUS","job2096","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2096-0",1
"NGA",12498197,96043,0.222037810860478,2047,"INFECTIOUS","job2125","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2125-0",1
"NGA",8797596,57001,0.156294460446967,2044,"INFECTIOUS","job2132","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2132-0",1
"NGA",4354284,34256,0.0773564128669765,2039,"INFECTIOUS","job2172","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2172-0",2
"NGA",11707209,82846,0.207985444432192,2032,"INFECTIOUS","job2173","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2173-0",2
"NGA",17562766,97430,0.312012853957642,2052,"INFECTIOUS","job2175","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2175-0",1
"NGA",16502328,92010,0.29317355001058,2047,"INFECTIOUS","job227","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job227-0",2
"NGA",1777238.25,29394,0.0315736814204087,2038,"INFECTIOUS","job2354","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2354-0",1
"NGA",2030651.5,42829,0.0360757166558142,2041,"INFECTIOUS","job2359","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2359-0",2
"NGA",13690372,84914,0.243217499991846,2046,"INFECTIOUS","job2396","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2396-0",2
"NGA",583061.125,16735,0.0103584233624136,2042,"INFECTIOUS","job2453","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2453-0",2
"NGA",9583161,71393,0.170250484094907,2048,"INFECTIOUS","job2490","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2490-0",1
"NGA",2055258.75,42339,0.0365128789058008,2046,"INFECTIOUS","job2520","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2520-0",3
"NGA",650092.8125,9220,0.0115492806637334,2044,"INFECTIOUS","job2530","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2530-0",0
"NGA",3896204.25,33710,0.0692183570426432,2041,"INFECTIOUS","job2551","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2551-0",1
"NGA",6529599,50540,0.116002161572327,2036,"INFECTIOUS","job2587","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2587-0",1
"NGA",1086978.625,21581,0.0193108137395444,2046,"INFECTIOUS","job2600","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2600-0",3
"NGA",1343442,16272,0.0238670362371487,2044,"INFECTIOUS","job2611","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2611-0",1
"NGA",8025657.5,77540,0.142580519575422,2047,"INFECTIOUS","job2687","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2687-0",2
"NGA",11020608,72641,0.195787574373446,2033,"INFECTIOUS","job2810","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2810-0",2
"NGA",947495.4375,19959,0.0168328129843682,2047,"INFECTIOUS","job2825","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2825-0",2
"NGA",13290280,87135,0.236109630606943,2053,"INFECTIOUS","job2861","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2861-0",1
"NGA",6764759.5,44703,0.120179925982734,2049,"INFECTIOUS","job2871","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2871-0",1
"NGA",4062584.25,27256,0.0721741954704553,2039,"INFECTIOUS","job292","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job292-0",1
"NGA",12077766,80646,0.214568607193911,2035,"INFECTIOUS","job2928","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2928-0",1
"NGA",3690231.75,33646,0.0655591345966008,2038,"INFECTIOUS","job2954","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2954-0",2
