"POLY_ID","raster_num_fields","raster_num_cells_populated","raster_prop_fields","raster_year","raster_type","job","batch","scenario","simKey","year_standardised"
"COG",29.0424823760986,15,1.98788678568731e-05,2030,"INFECTIOUS","job1001","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1001-0",0
"COG",1.02192509174347,1,6.99482695567027e-07,2025,"INFECTIOUS","job1030","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1030-0",0
"COG",2.20087742805481,2,1.50644669401547e-06,2022,"INFECTIOUS","job1043","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1043-0",0
"COG",0.556697309017181,1,3.81045672987544e-07,2028,"INFECTIOUS","job1107","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1107-0",0
"COG",2.02249312400818,2,1.38434700701345e-06,2035,"INFECTIOUS","job1122","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1122-0",0
"COG",74.175666809082,6,5.07714271665254e-05,2026,"INFECTIOUS","job1139","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1139-0",0
"COG",1.11363625526428,1,7.62256740740614e-07,2031,"INFECTIOUS","job1168","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1168-0",0
"COG",1.01239657402039,1,6.92960658564951e-07,2038,"INFECTIOUS","job1189","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1189-0",0
"COG",22.294376373291,5,1.52599545774634e-05,2023,"INFECTIOUS","job1205","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1205-0",0
"COG",2,2,1.36895101454778e-06,2020,"INFECTIOUS","job1216","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1216-0",0
"COG",1234.73669433594,9,0.000845147025205276,2029,"INFECTIOUS","job123","2022_05_16_batch_0","2022_05_16_cross_continental_endemic","2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job123-0",0
